Class,FanIn,FanOut,If,Try,SQL,McCabe
MChangeLog,5,0,0,0,0,28
X_M_ProductionLine,4,0,0,0,0,28
MAlert,4,52,2,4,2,28
MAging,1,85,3,0,0,28
ImportInventory,0,187,7,1,1,28
X_C_Period,50,0,0,0,0,27
X_M_CostQueue,35,0,0,0,0,27
MPriceList,30,49,4,4,2,27
X_AD_OrgInfo,20,0,0,0,0,27
body,20,0,0,0,0,27
MProductCategory,14,37,2,6,3,27
MStatus,14,46,2,4,2,27
X_C_Currency,12,0,0,0,0,27
OFX1ToXML,9,50,8,1,0,27
X_C_Charge,9,0,0,0,0,27
X_AD_PInstance_Para,8,0,0,0,0,27
X_M_Package,6,0,0,0,0,27
X_C_Campaign,4,0,0,0,0,27
MRecurring,4,114,10,0,0,27
MProcessPara,2,0,0,0,0,27
AllocationReset,2,55,4,2,1,27
MRoleOrgAccess,1,0,0,0,0,27
BPartnerOrgLink,0,57,7,0,0,27
CalloutEngine,130,42,0,2,0,26
MOrg,38,0,0,0,0,26
X_C_UOM_Conversion,36,0,0,0,0,26
X_C_RfQResponseLine,32,0,0,0,0,26
X_M_PriceList_Version,22,0,0,0,0,26
X_AD_DataMigration,22,0,0,0,0,26
X_S_ExpenseType,21,0,0,0,0,26
MRfQResponseLine,20,73,3,2,1,26
X_M_DiscountSchemaBreak,18,0,0,0,0,26
X_AD_Tree,15,0,0,0,0,26
X_M_DistributionRunLine,14,0,0,0,0,26
MColorSchema,12,100,4,0,0,26
X_PA_Achievement,11,0,0,0,0,26
MColor,8,31,6,1,1,26
MProjectPhase,7,58,4,2,1,26
X_C_Recurring_Run,6,0,0,0,0,26
ImportContact,6,42,9,2,1,26
X_AD_Task,6,0,0,0,0,26
button,4,0,0,0,0,26
X_AD_ComponentCreate,1,0,0,0,0,26
ViewUtil,1,76,4,2,0,26
X_AD_ComponentUse,1,0,0,0,0,26
MBPartnerInfo,1,51,5,2,1,26
X_C_Element,1,0,0,0,0,26
CalloutGLJournal,0,51,6,2,2,26
tr,123,0,0,0,0,25
SynchronizeTerminology,43,103,4,10,5,25
X_AD_WF_Responsible,33,0,0,0,0,25
MClientInfo,27,0,0,0,0,25
X_AD_DataMigrationEntry,20,0,0,0,0,25
X_AD_TableIndex,19,0,0,0,0,25
MRefList,17,0,0,0,0,25
X_C_Phase,12,0,0,0,0,25
BPartnerValidate,10,95,5,2,1,25
X_AD_ViewColumn,10,0,0,0,0,25
X_C_TaxDeclaration,9,0,0,0,0,25
MYear,9,58,4,4,1,25
X_AD_LdapProcessor,9,0,0,0,0,25
X_CM_CStageTTable,7,0,0,0,0,25
MStatusCategory,6,46,1,4,2,25
label,3,0,0,0,0,25
MChat,3,51,1,4,2,25
WebProjectDeploy,2,79,8,0,0,25
FileUpload,2,50,4,2,0,25
X_CM_ContainerTTable,1,0,0,0,0,25
MRequestProcessor,0,46,1,6,3,25
UserPassword,0,53,3,0,0,25
ProcessInfoParameter,777,0,0,0,0,24
NamePair,36,0,0,0,0,24
X_S_ResourceAssignment,18,0,0,0,0,24
X_M_Attribute,16,0,0,0,0,24
MRfQLine,12,85,2,2,1,24
X_C_Bank,9,0,0,0,0,24
X_M_Lot,9,0,0,0,0,24
MProductLocator,9,45,2,6,3,24
X_AD_DataMigrationPreview,9,0,0,0,0,24
X_M_Product_BOM,9,0,0,0,0,24
X_A_RegistrationAttribute,7,0,0,0,0,24
MComponentReg,4,67,2,2,1,24
ResultTable,4,54,3,0,0,24
MElementValue,3,0,0,0,0,24
X_C_DocBaseType,2,0,0,0,0,24
ProjectGenPO,2,82,10,0,0,24
ProductCost,1,37,4,2,2,24
X_CM_BroadcastServer,1,0,0,0,0,24
RfQCreatePO,0,100,5,0,0,24
OrderBatchProcess,0,49,2,2,1,24
X_Fact_Accumulation,32,0,0,0,0,23
X_AD_WF_NodeNext,32,0,0,0,0,23
CacheHandler,30,35,6,2,0,23
X_M_CostElement,25,0,0,0,0,23
X_C_UOM,24,0,0,0,0,23
X_C_PeriodControl,21,0,0,0,0,23
X_M_ProductPrice,19,0,0,0,0,23
X_M_DistributionListLine,9,0,0,0,0,23
MBank,7,38,5,3,1,23
X_C_RfQ_TopicSubscriber,6,0,0,0,0,23
MDocActionRule,6,9,1,0,0,23
MInterestArea,5,23,1,2,1,23
MDesktop,1,25,1,2,2,23
ComponentProduct,0,120,11,0,0,23
InitialSetup,0,59,0,0,0,23
MAlertProcessor,0,44,0,6,3,23
ImportLocator,0,180,3,1,1,23
AcctSchemaDefaultCopy,0,172,14,0,0,23
p,58,0,0,0,0,22
MDistributionRunLine,22,39,0,0,0,22
X_C_CommissionAmt,17,0,0,0,0,22
X_R_MailText,14,0,0,0,0,22
X_R_Source,12,0,0,0,0,22
X_M_LotCtl,11,0,0,0,0,22
X_CM_NewsChannel,10,0,0,0,0,22
X_M_SerNoCtl,10,0,0,0,0,22
X_M_DistributionRun,9,0,0,0,0,22
X_AD_ImpFormat,9,0,0,0,0,22
MBOM,7,45,8,2,1,22
MInvoicePaySchedule,6,41,6,2,1,22
MWikiToken,5,48,8,2,1,22
X_CM_TemplateTable,4,0,0,0,0,22
TranslationHandler,3,54,8,0,0,22
X_M_ChangeNotice,2,0,0,0,0,22
PaySelectionCreateCheck,1,48,4,0,0,22
ImportReportLine,0,205,4,5,6,22
X_M_AttributeSetInstance,34,0,0,0,0,21
X_CM_Container_Element,14,0,0,0,0,21
X_CM_NewsItem,12,0,0,0,0,21
X_C_DunningRun,12,0,0,0,0,21
X_CM_CStage_Element,11,0,0,0,0,21
X_AD_WF_Node_Para,7,0,0,0,0,21
X_AD_LoginMsgLog,7,0,0,0,0,21
X_C_PaymentBatch,6,0,0,0,0,21
MCommissionAmt,5,50,2,2,1,21
X_AD_SchedulerLog,3,0,0,0,0,21
X_K_IndexStop,3,0,0,0,0,21
X_AD_WorkflowProcessorLog,3,0,0,0,0,21
X_AD_LdapProcessorLog,3,0,0,0,0,21
X_R_RequestProcessorLog,3,0,0,0,0,21
X_AD_AlertProcessorLog,2,0,0,0,0,21
CalloutInventory,2,40,7,3,1,21
X_C_AcctProcessorLog,2,0,0,0,0,21
MPrintColor,2,0,0,0,0,21
X_AD_ReportView,1,0,0,0,0,21
TaxDeclarationCreate,1,47,1,4,2,21
X_AD_Val_Rule,1,0,0,0,0,21
IndexValidate,0,26,12,0,0,21
Trx,98,0,0,0,0,20
X_C_InvoiceTax,31,0,0,0,0,20
X_C_OrderTax,28,0,0,0,0,20
MDunningRun,20,58,1,2,1,20
X_C_RfQResponseLineQty,19,0,0,0,0,20
X_R_InterestArea,11,0,0,0,0,20
MInOutLineConfirm,10,57,7,1,1,20
X_R_Group,9,0,0,0,0,20
X_W_ClickCount,6,0,0,0,0,20
MReportSource,4,34,2,0,0,20
MPaymentProcessor,4,57,1,1,1,20
X_AD_Attachment,3,0,0,0,0,20
